Title,Creator,Publication,Date,DOI,Citations,Abstract
Free energy perturbation-derived identification of natural compounds targeting Mycobacterium tuberculosis thymidylate kinase,Chikhale R.V.,Scientific Reports,2026-12-01,10.1038/s41598-026-46983-z,0,"Mycobacterium tuberculosis (Mtb), the cause of tuberculosis, remains a major global health threat. TB spreads via airborne transmission through sneezing and coughing, thereby compromising respiratory health. The emergence of drug-resistant strains necessitates the development of new anti-tubercular agents. Natural products from plants, microbes, and marine sources are promising for drug discovery because of their structural diversity and biological activities. Current research seeks natural thymidylate kinase inhibitors to prevent TB, using methods such as binding-site identification, similarity searches, interaction analyses, and 100-ns MD simulations. Binding free energy is evaluated with MM-GBSA, and FEP studies identify molecules based on binding properties. In silico methods to explore natural compounds as TMPK putative inhibitors include fingerprint searches, AutoDock Vina docking, ADMET predictions, GROMACS MD simulations, and energy calculations. Molecular docking revealed binding energies of -12.10, -11.90, and − 13.40 kcal/mol for CNP0015705, CNP0363196, and CNP0217487, respectively, which are better than those of the co-crystal ligand and Lifirafenib. Moreover, the MM-GBSA-based binding energy ranged from − 14.50 to -22.86 kcal/mol, indicating a strong association between the proposed molecules and the TMPK protein. A virtual library was screened against Mtb TMPK, with promising candidates showing strong binding. Selected compounds CNP0015705, CNP0363196, and CNP0217487 preferentially bind to TMPK, as shown by various in silico analyses. This approach demonstrates the potential of natural products in drug discovery, highlighting their role in developing new therapies targeting TMPK."
Computational Identification of Inhibitors Targeting Hercynylcysteine Sulfoxide Lyase of Mycobacterium tuberculosis: Structure-Guided Virtual Screening and Molecular Dynamics Simulation Studies,Prabhu D.,Journal of Computational Biophysics and Chemistry,2026-11-01,10.1142/S2737416525501121,0,"Tuberculosis (TB) is a contagious airborne disease characterized by an increasing incidence of multidrug resistance. TB is a leading cause of bacterial infection-related deaths worldwide. Since the available drugs are not effective and the drug targets are acquiring resistance, there is a necessity to discover new and promising drug targets and lead molecules to combat drug-resistant TB. In this context, our study explored the possibility of utilizing hercynylcysteine sulfoxide lyase, which is one of the major redox systems that prevents bacteria from maintaining redox homeostasis. However, the complete mechanism of Mtb redox homeostasis remains unknown; hence, we constructed a model of the target protein to understand its structural features and probable mechanisms. MD simulations were conducted for 100 ns to examine the structural characteristics and structural integrity of the modeled three-dimensional protein structure. Furthermore, we identified three potent plant phytochemicals using a structure-guided virtual-screening strategy. The identified phytochemicals (CID: 137, 119 and 449468) were nontoxic and showed stable binding in MMGBSA and molecular dynamics simulation analysis. Overall, our results indicate that these three phytochemicals could bind to the functional site of hercynylcysteine sulfoxide lyase to impede its biological function, and further experimental validation is needed to validate our computational findings."
Integrative single-cell profiling and explainable AI identify monocyte-metabolic signatures as diagnostic biomarkers and candidate therapeutic targets in tuberculosis,Huang C.,Archives of Microbiology,2026-09-01,10.1007/s00203-026-05005-2,0,Sin abstract en OpenAlex
Structural characterizations of the Mycobacterium tuberculosis AdaA-AlkA (Rv1317c) bifunctional enzyme and identification of enprofylline as a candidate synergistic DNA-repair targeting agent through integrated computational and experimental approaches,Sharma R.,Computers in Biology and Medicine,2026-08-15,10.1016/j.compbiomed.2026.111808,0,Sin abstract en OpenAlex
"QSAR-based drug discovery of 2-((4-Imino-3,4-dihydroquinazolin-2-yl)thio-substituted analogs targeting Mycobacterium tuberculosis",Mendonça C.C.R.d.,Bioorganic and Medicinal Chemistry,2026-04-01,10.1016/j.bmc.2026.118572,2,"Dihydroquinazolin-4(3 H )-imines have emerged as a promising scaffold for developing novel antimycobacterial agents. Here, we integrated QSAR modeling, in vitro screening, molecular dynamics (MD), binding free-energy calculations, and in vivo toxicity assessment to identify potent inhibitors against Mycobacterium tuberculosis ( Mtb ). Four QSAR models demonstrated strong internal and external reliability ( R 2 > 0.68; Q 2 LOO > 0.62; R 2 ext up to 0.82 ). Additional validation parameters met recommended thresholds (Q 2 -F1/F2/F3 ≥ 0.72; CCC ext ≥ 0.88 ; r 2 m aver ≥ 0.72; r 2 m delta : 0.04 ), and Williams plots confirmed that all predictions fell within the applicability domain ( h*: 0.286 ). Biological assays identified 11 active compounds, with MIC values ranging from 25 to 200 μM. Compound 2c ( p -methylphenyl derivative) and 3d ( m, p -dichlorophenyl analog) were the most potent, displaying MIC values of 50 and 25 μM, respectively. MD simulations revealed stable and specific interactions with Eis, an acetyltransferase linked to kanamycin resistance. Compound 2c exhibited a mean Δ G bind of −52.19 ± 3.21 kcal/mol, while 3d showed a more favorable Δ G bind of −73.15 ± 3.16 kcal/mol, consistent with its superior in vitro potency. Distinct interaction profiles—especially the engagement of Tyr 126 and hydrophobic clusters—help explain their differential affinities. Moreover, both leads demonstrated low to moderate in vitro cytotoxicity against HepG2 cells at the concentrations evaluated. In vivo acute toxicity in Zophobas morio indicated LD₅₀ values of 500 mg/kg for 2c and 100 mg/kg for 3d , with transient tremors and melanization observed only for 3d . Since compound 2c exhibited a safer in vivo toxicity profile, this compound was investigated for its association with antimicrobial drugs. These compounds were validated as promising anti-TB candidates, supported by robust QSAR predictivity, favorable binding energetics, and measurable in vitro and in vivo toxicity profiles, reinforcing their potentials for further optimization. • Robust QSAR models with high internal and external predictivity guided the discovery of novel dihydroquinazolin-4(3H)-imine anti-TB agents. • Integrated in silico , in vitro , and in vivo approaches identified Eis as a key molecular target for the most active compounds. • Two lead derivatives (2c and 3d) exhibited potent antimycobacterial activity and stable binding profiles supported by molecular dynamics and MM/GBSA analyses. • Distinct interaction patterns with Eis, including Tyr126 engagement and hydrophobic clustering, explain differences in binding affinity and potency. • Compound 2c displayed a favorable safety profile in vitro and in vivo , supporting its potential as a scaffold for further antitubercular optimization."
Discovery of a multi-epitope tuberculosis vaccine targeting phospholipase C virulence factors: an insilico approach,Maru B.,Biotechnology Letters,2026-02-01,10.1007/s10529-026-03690-z,0,Sin abstract en OpenAlex
"Machine Learning–Driven discovery of mushroom-derived inhibitors targeting InhA of Mycobacterium tuberculosis: An integrated QSAR, molecular docking and molecular dynamic simulation approach",Wangchuk K.,Journal of Molecular Graphics and Modelling,2026-01-01,10.1016/j.jmgm.2025.109220,2,Sin abstract en OpenAlex
Rapid Identification of Drug-Resistant Tuberculosis Using Nanopore Targeted Next-Generation Sequencing from Sputum and Culture Isolates: Accuracy and Limitations,Dokrungkoon T.,Infection and Drug Resistance,2026-01-01,10.2147/IDR.S571825,0,"Purpose: Drug-resistant tuberculosis (DR-TB) complicates treatment and requires diagnostic approaches capable of comprehensive resistance profiling of Mycobacterium tuberculosis (MTB). This study evaluated the diagnostic performance of the Oxford Nanopore Technologies (ONT) custom TB-DR sequencing assay, a targeted Next-Generation Sequencing (tNGS) using Nanopore sequencing technology, in sputum and culture isolates. The assay targets resistance-associated variants across 24 genes covering 13 anti-tuberculosis drugs and integrates the hsp65 gene and direct repeat (DR) region for species identification and lineage determination. Methods: DNA was extracted from 88 clinical samples, comprising 30 uncultured sputum specimens (10 MTB-positive, 10 non-tuberculous mycobacteria, and 10 mycobacteria-negative controls) to evaluate species identification, and 58 MTB culture isolates. The culture isolates represented diverse phenotypic resistance profiles, including mono-drug resistant, multidrug-resistant, and pre-extensively drug-resistant strains. tNGS profiles were compared with pDST to evaluate diagnostic performance for drug-resistance profiling, including sensitivity, specificity, and test agreement. Results: Profiling success in sputum samples was dependent on mycobacterial load. Among MTB-positive sputum specimens, 6 (60%) produced results, including 2 complete resistance profiles and 4 partial profiles limited to species identification; the remaining specimens failed due to low mycobacterial load (smear-negative and high Ct values). All NTM samples were correctly identified, and all mycobacteria-negative controls tested negative. In contrast, 57 of 58 (98.3%) culture isolates yielded complete resistance profiles. Compared with pDST, sensitivity and specificity exceeded 90% for most drugs (except streptomycin, 85.7% sensitivity), with very strong agreement (κ > 0.8). Conclusion: The ONT custom TB-DR sequencing assay provides comprehensive resistance profiling with high concordance to pDST in samples yielding complete sequencing profiles and enables species and lineage identification with a shorter analytical turnaround time compared with phenotypic testing. Performance in sputum specimens was influenced by mycobacterial load. Further studies involving larger and more diverse cohorts are needed to validate clinical applicability. Keywords: Mycobacterium tuberculosis , Nanopore sequencing, tNGS, drug-resistant tuberculosis, rapid diagnostics"
Mycobacterium tuberculosis FAS-II pathway targeted integrative deep learning based identification of potential anti-tubercular agents,Chaurasia A.,Journal of Computer Aided Molecular Design,2025-12-01,10.1007/s10822-025-00695-0,0,Sin abstract en OpenAlex
Deciphering genetic overlaps between pulmonary tuberculosis and GERD for drug target discovery: A structural bioinformatics perspective,Dasgupta S.,Microbial Pathogenesis,2025-11-01,10.1016/j.micpath.2025.107949,0,"Pulmonary tuberculosis (PTB) and gastroesophageal reflux disease (GERD) are clinically distinct but may share common molecular mechanisms. This study used integrative bioinformatics to identify 23 significantly dysregulated genes common to both conditions. Key regulatory microRNAs (hsa-miR-34a-5p, hsa-let-7b-5p, hsa-let-7g-5p) and macrophage-associated pathways were implicated. Interferon alpha/beta signaling emerged as a central shared pathway between PTB and GERD. Five hub genes (MYL9, OASL, ACTA2, DDX60L, and DDX60) were identified as common between these two conditions and their expressions were validated using quantitative real-time PCR. Drug repurposing analysis identified ribavirin as a promising candidate targeting the hub gene OASL, supported by a favorable binding affinity (-6.6 kcal/mol) and acceptable ADMET properties. These findings pave the way for understanding the molecular overlap between PTB and GERD and for developing targeted therapeutic strategies."
